,Record Type,Make,Body Type,Registration Class
504,TRL,JA/FE,trailer,832
505,TRL,EA/BE,trailer,831
506,TRL,MAXUM,trailer,831
508,TRL,INTER,trailer,829
509,TRL,CA/EX,trailer,826
510,VEH,ISUZU,van,822
511,TRL,KEYST,trailer,821
512,TRL,EBY,trailer,820
513,TRL,GATOR,trailer,820
514,TRL,JAYCO,trailer,817
517,TRL,ROYAL,trailer,813
518,VEH,KENWO,big truck,812
519,TRL,COLEM,trailer,808
520,TRL,SHORE,trailer,804
521,TRL,UHAUL,trailer,801
522,TRL,WE/CA,trailer,798
526,TRL,QU/ST,trailer,789
527,VEH,AL/RO,convertible,783
529,VEH,BMW,sedan,781
530,VEH,DATSU,3-door,779
531,TRL,JAYFE,trailer,779
534,TRL,CARMA,trailer,772
535,TRL,MA/TO,trailer,772
536,VEH,HINO,big truck,769
537,TRL,PASSP,trailer,769
539,VEH,MO/GU,motorcycle,758
540,TRL,STARC,trailer,749
541,VEH,BLUEB,bus,744
543,VEH,JO/DE,snow plow,740
544,VEH,VOLKS,sedan,736
545,TRL,CARGO,trailer,732
546,TRL,TOWMA,trailer,731
547,TRL,MISSI,trailer,729
548,VEH,ME/BE,sedan,728
551,TRL,MASTE,trailer,719
554,VEH,DODGE,convertible,714
556,TRL,ATLAS,trailer,714
557,TRL,MONTA,trailer,712
558,VEH,MI/FU,truck,708
559,TRL,DORSE,trailer,706
562,TRL,LIGHT,trailer,700
563,VEH,KENWO,station wagon/sport utility vehicle,698
564,TRL,OUTBA,trailer,697
566,VEH,APRIL,motorcycle,694
568,TRL,SUNLI,trailer,691
569,TRL,MA/TI,trailer,687
571,VEH,TRANS,bus,685
572,TRL,WELLS,trailer,685
573,TRL,HIGHL,trailer,682
574,VEH,ISUZU,big truck,680
575,TRL,AM/HA,trailer,679
576,TRL,KINGS,trailer,677
578,VEH,MACK,station wagon/sport utility vehicle,675
580,TRL,BULLE,trailer,674
581,TRL,INTEG,trailer,673
583,VEH,MACK,snow plow,672
584,TRL,BELMO,trailer,672
587,VEH,HINO,big truck,671
588,VEH,BENTL,convertible,670
589,VEH,DODGE,station wagon/sport utility vehicle,669
591,TRL,GAC,trailer,664
594,VEH,MI/FU,big truck,655
597,TRL,HOOSI,trailer,653
598,TRL,AMERI,trailer,652
599,TRL,HOME,trailer,652
600,VEH,FORD,big truck,651
602,VEH,CADIL,van,650
603,TRL,MAGIC,trailer,649
604,VEH,SUNSE,trailer,647
605,VEH,WORKH,truck,645
607,VEH,CUSTO,motorcycle,636
608,VEH,BENTL,sedan,634
609,TRL,HAULI,trailer,631
610,TRL,UHAUL,trailer,629
611,TRL,SNOPR,trailer,629
612,VEH,ITASC,trailer,628
613,TRL,US/CA,trailer,626
614,VEH,AMERI,station wagon/sport utility vehicle,626
615,TRL,PARKE,trailer,624
616,TRL,TR/RU,trailer,619
617,TRL,TO/BR,trailer,613
618,TRL,DUTCH,trailer,613
621,VEH,KENWO,van,609
622,VEH,MI/FU,van,608
623,TRL,TO/BR,trailer,608
624,VEH,HARLE,motorcycle,605
625,TRL,PA/AM,trailer,604
626,VEH,CHEVR,tow truck / wrecker,603
628,TRL,CARMA,trailer,601
630,TRL,RC,trailer,599
631,TRL,RENEG,trailer,598
632,TRL,RINGO,trailer,597
637,TRL,HAWKE,trailer,594
638,TRL,DIAMO,trailer,592
639,TRL,SHIPM,trailer,592
640,VEH,YAMAH,motorcycle,590
642,VEH,MACK,big truck,589
644,VEH,HUSQV,motorcycle,587
645,TRL,TENNE,trailer,585
646,VEH,MG,3-door,584
647,TRL,HYUND,trailer,584
649,TRL,AMERI,trailer,583
650,TRL,PREMI,trailer,582
651,VEH,CHEV,3-door,579
652,VEH,OSHKO,snow plow,579
653,TRL,MI/AT,trailer,574
654,TRL,LOCKE,trailer,574
656,TRL,VIKIN,trailer,570
657,VEH,MI/BI,bus,569
658,TRL,TEENE,trailer,567
659,TRL,MALLA,trailer,566
660,TRL,SAUBE,trailer,565
661,VEH,CAM,trailer,562
663,VEH,RO/RO,sedan,560
664,TRL,FLAGS,trailer,556
665,VEH,PLYMO,convertible,552
666,TRL,ALUMA,trailer,550
667,TRL,ADAM,trailer,548
668,VEH,MASER,convertible,548
669,TRL,KZ/SP,trailer,547
670,VEH,AS/MA,3-door,545
672,TRL,TALBE,trailer,542
673,TRL,LIBER,trailer,541
675,TRL,TARTE,trailer,540
677,TRL,AIRST,trailer,538
678,VEH,TR/TE,station wagon/sport utility vehicle,536
679,VEH,INTER,van,534
682,TRL,CATAL,trailer,533
683,VEH,UD,big truck,532
684,TRL,PIONE,trailer,531
686,TRL,EZ/DU,trailer,530
687,TRL,HURST,trailer,527
688,VEH,INFIN,convertible,526
689,VEH,GEM,3-door,524
690,TRL,NEO,trailer,523
691,TRL,WARLO,trailer,523
692,TRL,BIGTE,trailer,519
693,TRL,CURRA,trailer,515
694,TRL,RINGO,trailer,515
695,VEH,KTM,multi-wheeled vehicle,515
696,TRL,COTTR,trailer,513
697,TRL,RO/SO,trailer,513
698,VEH,PETER,station wagon/sport utility vehicle,513
699,TRL,FLEET,trailer,513
700,VEH,SMART,convertible,512
701,TRL,LARK,trailer,511
702,VEH,MACK,tractor,510
703,TRL,STARC,trailer,507
704,TRL,ROADC,trailer,505
705,TRL,PACE,trailer,505
706,TRL,KARAV,trailer,504
707,VEH,MASER,3-door,504
709,TRL,VALLE,trailer,501
710,TRL,SGAC,trailer,500
711,TRL,CARRY,trailer,499
712,TRL,CA/TR,trailer,499
714,VEH,ALLEG,trailer,496
715,TRL,RACEM,trailer,495
716,TRL,UHAUL,station wagon/sport utility vehicle,495
717,TRL,TE/NE,trailer,493
718,VEH,JAYCO,trailer,493
719,VEH,LINCO,truck,493
720,VEH,FORD,tractor,492
721,VEH,FREIG,van,489
722,TRL,FO/WI,trailer,487
723,TRL,EXISS,trailer,487
724,VEH,BENTL,3-door,486
725,VEH,INTER,truck,485
726,VEH,PETER,big truck,483
727,VEH,RAM,tow truck / wrecker,482
729,TRL,FR/EX,trailer,481
731,TRL,EZLOA,trailer,481
732,TRL,FLOE,trailer,480
733,VEH,KOMAT,power shovel,479
734,TRL,DIVEL,trailer,477
735,TRL,EZ/HA,trailer,476
736,TRL,NEXHA,trailer,476
737,VEH,SLING,motorcycle,474
738,TRL,STARL,trailer,474
740,VEH,FORD,taxi,473
741,TRL,GREAT,trailer,472
745,VEH,CA/ON,trailer,470
746,TRL,MISSI,trailer,469
747,VEH,ICBUS,bus,466
748,VEH,HINO,station wagon/sport utility vehicle,465
749,TRL,STERL,trailer,465
750,TRL,BEAR,trailer,465
751,VEH,GLBEN,snow plow,463
752,VEH,GEORG,trailer,462
755,TRL,CO/CA,trailer,457
757,TRL,TR/KI,trailer,454
758,TRL,TA/IN,trailer,454
759,VEH,CATER,snow plow,453
760,TRL,TRANS,trailer,453
762,TRL,HORNE,trailer,452
763,VEH,WILLY,3-door,450
764,TRL,CURRA,trailer,449
765,TRL,CAMSU,trailer,448
766,TRL,BE/BU,trailer,446
770,VEH,HINO,tow truck / wrecker,444
771,VEH,REDHA,trailer,443
772,TRL,IN/SP,trailer,443
773,TRL,STOUG,trailer,440
774,TRL,JB/EN,trailer,439
775,TRL,BI/TX,trailer,438
776,TRL,EA/CA,trailer,438
777,VEH,FREIG,station wagon/sport utility vehicle,438
778,VEH,NEWFL,bus,437
779,TRL,ETNYR,trailer,436
781,TRL,DOWNE,trailer,435
783,VEH,FREIG,tow truck / wrecker,433
785,TRL,UNITE,trailer,428
787,TRL,DILLY,trailer,426
788,VEH,CF/MO,multi-wheeled vehicle,425
790,VEH,RAM,big truck,422
791,TRL,SURTC,trailer,421
792,TRL,FO/RI,trailer,420
793,TRL,KENDO,trailer,420
794,TRL,SL/BE,trailer,419
795,TRL,GU/ST,trailer,419
796,TRL,ZINGE,trailer,419
797,TRL,SUNDO,trailer,419
798,TRL,TREMC,trailer,418
800,VEH,FO/WI,trailer,415
801,VEH,POLAR,motorcycle,415
802,TRL,TWF,trailer,415
803,VEH,CHRYS,van,414
804,TRL,WINST,trailer,413
805,TRL,LEGEN,trailer,412
806,TRL,CONTI,trailer,412
807,TRL,LARED,trailer,412
809,TRL,WINNE,trailer,408
810,TRL,KARA,trailer,408
811,TRL,KODIA,trailer,407
812,TRL,WILDE,trailer,407
813,VEH,HAULM,trailer,406
814,VEH,AS/MA,convertible,403
