,Record Type,Make,Body Type,Registration Class
7749,TRL,DA/HA,trailer,8
7750,TRL,RANG,trailer,8
7751,VEH,JA/FL,trailer,8
7752,TRL,DRAGM,trailer,8
7753,TRL,MIDWE,trailer,8
7755,TRL,TX/BR,trailer,8
7756,TRL,KAU,trailer,8
7757,VEH,HUMM,station wagon/sport utility vehicle,8
7759,TRL,STAIR,trailer,8
7762,VEH,CITRO,convertible,8
7763,TRL,HARD,trailer,8
7764,TRL,BELSH,big truck,8
7766,TRL,YACL,trailer,8
7767,TRL,PATRI,trailer,8
7768,VEH,ZHEJI,motorcycle,8
7769,VEH,RO/KI,trailer,8
7770,VEH,DI/WI,trailer,8
7772,TRL,CAMSU,trailer,8
7773,VEH,KAWAS,station wagon/sport utility vehicle,8
7774,TRL,BR/CR,trailer,8
7775,TRL,ME/RI,trailer,8
7776,TRL,HOGG,trailer,8
7777,TRL,STAGE,trailer,8
7778,TRL,HITCH,trailer,8
7779,TRL,EZ/PU,trailer,8
7781,VEH,YAMAM,motorcycle,8
7782,VEH,SERRA,trailer,8
7783,VEH,BROCK,truck,8
7785,TRL,CR/PR,trailer,8
7786,VEH,REO,sedan,8
7787,VEH,KENIL,big truck,8
7789,VEH,NHOLL,snow plow,8
7790,VEH,MITSU,big truck,8
7791,VEH,DERBI,motorcycle,8
7792,VEH,FREIG,snow plow,8
7793,TRL,GR/HO,trailer,8
7794,TRL,WELLM,trailer,8
7796,VEH,SMART,sedan,8
7797,VEH,STRIC,trailer,8
7798,TRL,BE/BU,station wagon/sport utility vehicle,8
7799,TRL,HH/TR,trailer,8
7800,TRL,CIMC,trailer,8
7801,VEH,JAMB,trailer,8
7802,TRL,EAGLE,trailer,8
7803,VEH,DONGF,multi-wheeled vehicle,8
7804,TRL,K&W,trailer,8
7805,TRL,WARRE,trailer,8
7808,TRL,RECRE,trailer,8
7809,TRL,LI/GU,trailer,8
7810,TRL,RESOR,trailer,8
7811,VEH,TOYT,station wagon/sport utility vehicle,8
7812,VEH,BRIDG,motorcycle,8
7813,TRL,VANTA,trailer,8
7814,VEH,WILLI,3-door,8
7815,TRL,KYCO,trailer,8
7816,TRL,TMO,trailer,8
7817,TRL,MERCU,trailer,8
7818,VEH,TIBRO,trailer,8
7819,VEH,SUNDO,trailer,8
7820,TRL,STEVE,trailer,8
7821,VEH,MILLE,trailer,8
7822,TRL,DO/D,trailer,7
7823,VEH,TERRA,trailer,7
7824,TRL,SHAD,trailer,7
7825,VEH,ME/BE,limousine,7
7826,TRL,MORI,trailer,7
7827,TRL,TR/SA,trailer,7
7828,TRL,PAMA,trailer,7
7829,VEH,EL/NA,bus,7
7831,TRL,A&F,trailer,7
7832,TRL,QC/ME,trailer,7
7833,VEH,BROTH,motorcycle,7
7835,VEH,BA/GR,snow plow,7
7836,TRL,PAC,trailer,7
7837,TRL,FRUE,trailer,7
7838,TRL,GMT,trailer,7
7839,TRL,GSCR,trailer,7
7841,VEH,YANMA,power shovel,7
7842,TRL,LAMCO,trailer,7
7843,VEH,VACTR,trailer,7
7846,TRL,FERRE,trailer,7
7847,VEH,ISUZU,lift boom,7
7848,VEH,NOV,bus,7
7849,VEH,HOND,3-door,7
7850,VEH,ALTA,motorcycle,7
7851,TRL,HEAV,trailer,7
7852,TRL,MISSN,trailer,7
7853,TRL,LOADS,trailer,7
7854,TRL,EAG,trailer,7
7855,VEH,ODYSS,motorcycle,7
7856,VEH,AMER,sedan,7
7857,VEH,IB,bus,7
7858,VEH,MONTO,trailer,7
7860,TRL,RAVE,trailer,7
7861,VEH,MULTI,tractor,7
7862,VEH,REPLI,convertible,7
7863,VEH,LIGHT,trailer,7
7865,TRL,VULCA,trailer,7
7866,TRL,SKY,trailer,7
7867,TRL,LOOKI,trailer,7
7868,TRL,LO/HA,trailer,7
7869,VEH,LOCKE,trailer,7
7871,VEH,SUZUI,motorcycle,7
7872,TRL,SCHER,trailer,7
7873,TRL,CUTOM,trailer,7
7875,VEH,MONOC,trailer,7
7877,VEH,FOR,big truck,7
7878,TRL,CR/MT,trailer,7
7879,VEH,WALDO,snow plow,7
7880,VEH,WHEEL,station wagon/sport utility vehicle,7
7881,VEH,ROCKP,station wagon/sport utility vehicle,7
7882,TRL,KAUFM,station wagon/sport utility vehicle,7
7883,SNOW,LYNX,snow plow,7
7884,TRL,SHLA,trailer,7
7886,VEH,DOLIT,trailer,7
7887,TRL,MACK,trailer,7
7888,TRL,MANAC,big truck,7
7889,VEH,REDNE,motorcycle,7
7891,VEH,GA/MA,trailer,7
7892,TRL,TRIM,trailer,7
7893,TRL,EB,trailer,7
7894,TRL,AR/WO,trailer,7
7895,VEH,TRAMO,trailer,7
7896,TRL,RUSH,trailer,7
7897,TRL,KZESC,trailer,7
7898,TRL,EC/LI,trailer,7
7899,TRL,REGAL,trailer,7
7901,TRL,COMBS,trailer,7
7902,TRL,KEY,trailer,7
7903,TRL,WADE,trailer,7
7905,TRL,DEBRU,trailer,7
7906,TRL,OP/RA,trailer,7
7907,TRL,SOUT,trailer,7
7908,VEH,DEMER,truck,7
7909,TRL,ARNG,trailer,7
7910,TRL,LODC,trailer,7
7911,TRL,FLYER,trailer,7
7913,TRL,SCHWI,trailer,7
7914,SNOW,SKDOO,snow plow,7
7915,TRL,STOHL,trailer,7
7916,VEH,DOOHA,motorcycle,7
7917,TRL,RAWHI,trailer,7
7919,VEH,FUNMO,trailer,7
7920,TRL,CA/TO,trailer,7
7922,VEH,LANDA,trailer,7
7925,TRL,COLMA,trailer,7
7926,TRL,STEUR,trailer,7
7927,VEH,CA/ON,multi-wheeled vehicle,7
7929,TRL,MCELR,big truck,7
7930,VEH,RO/RI,trailer,7
7932,VEH,AG/BE,trailer,7
7933,TRL,CU/HA,trailer,7
7934,TRL,TNTRA,trailer,7
7935,VEH,RAYTE,trailer,7
7936,TRL,ATOKA,trailer,7
7937,TRL,FI/LO,trailer,7
7939,TRL,BURKH,trailer,7
7941,VEH,CH/JI,motorcycle,7
7942,TRL,BJS,trailer,7
7943,VEH,FREIG,power shovel,7
7944,VEH,OSSA,motorcycle,7
7946,TRL,LO/HO,trailer,7
7947,VEH,KARM,sedan,7
7949,VEH,NO/ST,trailer,7
7950,TRL,LAND,trailer,7
7953,TRL,AQUAT,trailer,7
7954,VEH,LONDO,convertible,7
7955,TRL,DI/CO,trailer,7
7957,VEH,PTRB,truck,7
7958,TRL,D&E,trailer,7
7959,TRL,MAGI,trailer,7
7960,TRL,LANG,trailer,7
7964,TRL,CRAFT,trailer,7
7965,TRL,HAWKT,trailer,7
7967,VEH,KENWO,lift boom,7
7969,VEH,SHAY,convertible,7
7970,VEH,KBH,trailer,7
7971,TRL,RE/EN,trailer,7
7972,TRL,STAHL,trailer,7
7973,TRL,TO/SH,trailer,7
7974,TRL,RD/KI,trailer,7
7975,VEH,NORT,motorcycle,7
7976,VEH,OSHKO,tractor,7
7979,VEH,WOODC,trailer,7
7980,TRL,TR/BL,trailer,7
7982,TRL,TOWTR,station wagon/sport utility vehicle,7
7983,TRL,COMMO,trailer,7
7984,TRL,KI/RO,station wagon/sport utility vehicle,7
7986,VEH,DODG,big truck,7
7990,TRL,SUN,trailer,7
7991,TRL,HOMEM,big truck,7
7993,VEH,MOBIL,station wagon/sport utility vehicle,7
7994,TRL,AI/ST,trailer,7
7995,TRL,HMT,trailer,7
7996,TRL,DR/TA,trailer,7
7997,TRL,ENLIG,trailer,7
7998,TRL,HM/DE,trailer,7
7999,VEH,ALLIA,snow plow,7
8000,TRL,SURET,big truck,7
8001,VEH,SPECI,motorcycle,7
8002,TRL,CROSS,station wagon/sport utility vehicle,7
8003,TRL,WING,trailer,7
8004,TRL,LBT,trailer,7
8005,TRL,RETES,trailer,7
8006,TRL,DU/LI,trailer,7
8007,TRL,CANAM,trailer,7
8008,TRL,CARRI,trailer,7
8010,VEH,FERRI,3-door,7
8011,TRL,PO/CR,trailer,7
8012,TRL,MPG,trailer,7
8013,VEH,AUST,convertible,7
8015,VEH,AUHE,3-door,7
8016,TRL,SOMER,trailer,7
8018,VEH,INTL,lift boom,7
8019,SNOW,POLAE,snow plow,7
8020,TRL,ASTRO,trailer,7
8021,TRL,BTEX,trailer,7
8023,TRL,ROLLS,trailer,7
8025,TRL,NASH,trailer,7
8026,TRL,GRIDE,trailer,7
8027,TRL,WE/CO,trailer,7
8028,TRL,SE/LA,trailer,7
8029,TRL,FEATH,big truck,7
8030,VEH,TORO,snow plow,7
8031,VEH,INTL,snow plow,7
8032,VEH,WINNE,van,7
8033,VEH,AMGN,sedan,7
8035,VEH,C&J,trailer,7
8041,VEH,PRINO,tractor,7
8042,VEH,KEMWO,big truck,7
8043,TRL,WILLI,trailer,7
8044,VEH,DAEWO,station wagon/sport utility vehicle,7
8047,TRL,COZYC,trailer,7
8048,TRL,TEENE,station wagon/sport utility vehicle,7
8050,TRL,SUNTR,trailer,7
8051,VEH,KEN,tow truck / wrecker,7
8052,VEH,FAN,trailer,7
8053,TRL,OPEN,trailer,7
8054,TRL,HIGH,trailer,7
8055,TRL,HYTR,trailer,7
8057,VEH,UTIL,van,7
8059,TRL,BRENN,trailer,7
8060,TRL,INGER,trailer,7
8061,TRL,CHRYS,trailer,7
8062,TRL,DO/LI,station wagon/sport utility vehicle,7
8063,VEH,TOYB,sedan,7
8064,TRL,CYNG,trailer,7
8065,TRL,SP/HV,trailer,7
8066,VEH,HME,station wagon/sport utility vehicle,7
8067,TRL,CAN,trailer,7
8068,TRL,HIG,trailer,7
8069,TRL,COZY,trailer,7
8070,TRL,FIRST,trailer,7
8071,VEH,MOFF,truck,7
8072,VEH,CRANE,snow plow,7
8073,VEH,TRIUP,motorcycle,7
8074,TRL,HURS,trailer,7
8075,TRL,CON,trailer,7
8076,TRL,EZ/RO,trailer,7
8077,VEH,RAMT,big truck,7
8078,TRL,STECO,trailer,7
8079,VEH,CUST,motorcycle,7
8080,TRL,JDJ,station wagon/sport utility vehicle,7
8081,TRL,ITI,trailer,7
8083,TRL,ATCTR,trailer,7
8084,VEH,FROD,station wagon/sport utility vehicle,7
8087,VEH,ME/BE,big truck,7
8088,VEH,MICHI,snow plow,7
8090,TRL,AL/MA,trailer,7
8091,VEH,HOLSC,trailer,7
8092,VEH,KENTU,trailer,7
8093,TRL,CRGS,trailer,7
8094,VEH,AUST,3-door,7
8095,TRL,IMPAC,trailer,7
8096,TRL,ARNI,trailer,7
8097,VEH,QINGD,multi-wheeled vehicle,7
8098,VEH,SUBUR,sedan,7
8099,TRL,CR/CR,trailer,7
8101,TRL,SIMEK,trailer,7
8105,VEH,ROLLS,convertible,7
8106,TRL,PRISM,trailer,7
8107,TRL,KODIA,trailer,7
8108,TRL,VNTC,trailer,7
8109,TRL,ECTR,trailer,7
8110,VEH,NORTH,trailer,7
8111,VEH,DAIML,sedan,7
8112,VEH,TITAN,trailer,7
8115,TRL,ELIMA,trailer,7
8116,VEH,STERL,tractor,7
8118,TRL,EA/AM,trailer,7
8119,VEH,FPRD,station wagon/sport utility vehicle,7
8120,VEH,MA/FE,snow plow,7
8121,TRL,SE/HA,trailer,7
8122,TRL,BGTX,trailer,7
8123,VEH,HYOSU,motorcycle,7
8124,VEH,HE/HA,station wagon/sport utility vehicle,7
8125,TRL,PAMR,trailer,7
8127,TRL,PHONE,trailer,7
8128,TRL,CARRI,trailer,7
8129,VEH,SP/CA,trailer,7
8130,TRL,FONT,trailer,7
8131,VEH,MITSU,tow truck / wrecker,7
8132,VEH,STUDE,big truck,7
8133,VEH,SMART,trailer,7
8134,TRL,PALAM,trailer,7
8135,VEH,PRESI,trailer,7
8136,TRL,BAKER,trailer,7
8137,TRL,RETRE,trailer,7
8138,TRL,VOLVA,trailer,7
8139,TRL,SE/CU,trailer,7
8140,TRL,MI/TR,trailer,7
8141,VEH,SE/LI,trailer,7
8142,TRL,RHEA,trailer,7
8144,VEH,GOLDE,trailer,7
8145,TRL,AOK,trailer,7
8146,TRL,XLRTO,trailer,7
8147,TRL,WH/WO,trailer,7
8148,VEH,HYUND,van,7
8149,TRL,DU/HI,trailer,7
8151,VEH,STOW,trailer,7
8152,TRL,TRIT,trailer,7
8154,VEH,HOND,sedan,7
8155,TRL,PHEON,trailer,7
8156,VEH,ICBU,bus,7
8157,TRL,CMC,trailer,7
8158,TRL,EXCAL,trailer,7
8159,VEH,MERKU,sedan,7
8160,VEH,TOYOT,sedan,7
8161,VEH,CONVE,trailer,7
8162,TRL,USJET,trailer,7
8163,VEH,TRIMP,motorcycle,7
8164,TRL,MARTI,trailer,7
8165,TRL,DONAH,trailer,7
8166,TRL,SH/CR,trailer,7
8167,TRL,ALUMN,trailer,7
8168,TRL,WARDS,station wagon/sport utility vehicle,7
8169,VEH,FRHT,truck,7
8170,TRL,CEDAR,trailer,7
8171,TRL,TRAVL,trailer,7
8173,TRL,WINN,trailer,7
8174,TRL,BL/GR,trailer,7
8175,TRL,PETER,trailer,7
8176,VEH,GEMIN,trailer,7
8178,TRL,MONWA,trailer,7
8180,TRL,CHEET,trailer,7
8181,VEH,RE/IN,multi-wheeled vehicle,7
8182,VEH,WESTS,big truck,7
8183,VEH,MAS,trailer,7
8184,VEH,STIRL,snow plow,7
8185,VEH,DAIHA,station wagon/sport utility vehicle,7
8187,VEH,TOPBR,trailer,7
8188,VEH,SAFA,trailer,7
8189,TRL,ARNDT,station wagon/sport utility vehicle,7
8190,VEH,MERCU,station wagon/sport utility vehicle,7
8191,VEH,INTEL,big truck,7
8192,TRL,QLCG,trailer,7
8193,VEH,HERIT,trailer,7
8194,VEH,NAVIG,truck,7
8195,TRL,ESPAD,trailer,7
8196,TRL,BISO,trailer,7
8197,TRL,HOMEA,trailer,7
8198,TRL,DILLY,station wagon/sport utility vehicle,7
8199,TRL,TRAC,trailer,7
8200,VEH,OVERL,convertible,7
8201,TRL,LANDA,trailer,7
8203,TRL,PREME,trailer,7
8204,VEH,SOUTH,trailer,7
8205,TRL,ARCTI,trailer,7
8206,VEH,ST/CH,motorcycle,7
8208,TRL,MAG,trailer,7
8209,VEH,IZUZU,van,7
8210,TRL,WITZ,trailer,7
8211,TRL,DARKH,trailer,7
8212,TRL,VI/TO,trailer,7
8213,VEH,PETE,big truck,7
8214,TRL,REMEO,trailer,7
8216,TRL,WABAH,trailer,7
8218,TRL,BRENN,big truck,7
8221,VEH,CREAT,motorcycle,7
8222,TRL,SPEVC,trailer,7
8223,TRL,NIKE,big truck,7
8224,TRL,RO/MA,trailer,7
8225,VEH,FRHT,snow plow,7
8226,TRL,MI/HA,trailer,7
8227,TRL,MA/WE,trailer,7
8229,TRL,VANG,trailer,7
8230,VEH,STAR,trailer,7
8231,TRL,DRAGG,trailer,7
8232,VEH,BECK,convertible,7
8233,TRL,HARVE,trailer,7
8236,TRL,OUTB,trailer,7
8238,TRL,TRAL,trailer,7
8239,TRL,DISCO,trailer,7
8240,TRL,H&S,trailer,7
8241,TRL,PJ,big truck,7
8242,VEH,CRONK,trailer,7
8243,VEH,COYOT,trailer,7
8244,VEH,HAULM,trailer,7
8245,VEH,MNAC,trailer,7
8246,TRL,EA/DU,trailer,7
8249,VEH,MASSE,snow plow,7
8250,TRL,ART,trailer,7
8251,VEH,CHEVO,3-door,7
8252,VEH,RAYCO,trailer,7
8253,TRL,GRTDN,trailer,7
8254,VEH,WHITE,big truck,7
8258,VEH,JAGUR,convertible,7
8259,TRL,GENIE,trailer,7
8260,VEH,POWER,trailer,7
8261,TRL,PT/TR,trailer,7
8262,TRL,ALLST,trailer,7
8263,VEH,LEGEN,trailer,7
8264,TRL,OPTIM,trailer,7
8265,TRL,HA/FR,trailer,7
8266,VEH,ST/AL,van,7
8267,VEH,HORIZ,trailer,7
8268,TRL,DRI,trailer,7
8269,VEH,ATLAS,trailer,7
8270,VEH,QU/ST,trailer,7
8272,TRL,PR/TO,trailer,7
8273,TRL,OUTBA,trailer,7
8274,VEH,SP/TC,trailer,7
8275,VEH,MEIDU,motorcycle,7
8276,TRL,ADVAN,trailer,7
8278,TRL,LI/PA,trailer,7
8279,TRL,JA/FL,trailer,7
8280,VEH,BR/MR,trailer,7
8281,TRL,HERTI,trailer,7
8282,TRL,PHEON,trailer,7
8283,VEH,BUTLE,trailer,7
8284,TRL,TI/WO,trailer,7
8285,TRL,KIPE,trailer,7
8286,VEH,MONST,trailer,7
8287,VEH,CA/AN,motorcycle,7
8288,TRL,CH/KI,trailer,7
8290,VEH,IMPER,3-door,7
8291,TRL,EZ/HA,station wagon/sport utility vehicle,7
8292,VEH,JOHN,snow plow,7
8293,VEH,KAISE,tractor,7
8294,VEH,JONWA,motorcycle,7
8296,VEH,ANGLI,3-door,7
8297,VEH,ALUMA,trailer,7
8298,TRL,HILLS,trailer,7
8299,TRL,WASHB,trailer,7
8300,TRL,RIVER,trailer,7
8302,VEH,EUROP,convertible,7
8303,TRL,HOOP,trailer,7
8304,VEH,MGTD,convertible,7
8305,TRL,YAC,trailer,7
8306,VEH,VOLKS,sedan,7
8308,VEH,CHRYS,truck,7
8309,VEH,CROSL,3-door,7
8310,VEH,EAST,trailer,7
8311,TRL,MEYER,trailer,7
8313,VEH,HOLME,trailer,7
8315,TRL,QUALI,station wagon/sport utility vehicle,7
8316,VEH,AMG,station wagon/sport utility vehicle,7
8318,TRL,KE/WE,trailer,7
8319,TRL,CLA,trailer,7
8320,TRL,BRIST,trailer,7
8322,TRL,MOMEM,trailer,7
8323,TRL,ALITE,trailer,7
8324,TRL,RA/TE,trailer,7
8325,VEH,ITALJ,motorcycle,7
8327,TRL,JONES,trailer,7
8328,TRL,KA/TR,trailer,7
8329,VEH,HOLR,trailer,7
8330,VEH,HINO,tractor,7
8331,TRL,TAHOE,trailer,7
8332,TRL,ACRO,big truck,7
8333,VEH,FREI,big truck,7
8335,TRL,CARO,trailer,7
8336,VEH,TITAN,trailer,7
8337,TRL,CO/TR,trailer,7
8339,TRL,SUPER,trailer,7
8341,TRL,HORT,trailer,7
8342,TRL,STEUR,trailer,7
8345,TRL,D&B,trailer,7
8346,VEH,PRINO,power shovel,7
8347,TRL,HALE,trailer,7
8348,VEH,GEELY,motorcycle,7
8350,TRL,GRE,trailer,7
8353,VEH,COA,trailer,7
8354,VEH,NW/HO,power shovel,7
8355,TRL,PRE,trailer,7
8356,TRL,WORT,trailer,7
8358,TRL,MONST,trailer,7
8360,TRL,SH/RE,big truck,7
8361,TRL,HH/TR,trailer,7
8362,VEH,MANDA,trailer,7
8363,VEH,PHOEN,trailer,7
8364,VEH,SP/CO,3-door,7
8366,VEH,WE/CA,station wagon/sport utility vehicle,7
8367,VEH,SUZUK,sedan,7
8368,VEH,LI/GI,lift boom,7
8370,TRL,FO/SE,trailer,7
8371,VEH,GMC,snow plow,7
8372,TRL,RODGE,trailer,7
8373,VEH,CAT,unknown,7
8374,TRL,FAN,trailer,7
8376,VEH,CHONG,multi-wheeled vehicle,7
8377,VEH,OLDDO,trailer,7
8378,TRL,RD/MA,trailer,7
8379,TRL,MO/AI,trailer,7
8380,TRL,PE/ST,trailer,7
8382,TRL,VEXUS,trailer,7
8383,TRL,MA/LA,trailer,7
8384,TRL,TRA,trailer,7
8387,TRL,SKIKA,trailer,7
8388,VEH,FERRA,sedan,7
8390,VEH,CHEV,tow truck / wrecker,7
8391,TRL,MORRI,trailer,7
8392,TRL,SUNVA,trailer,7
8394,TRL,GINDY,trailer,7
8395,TRL,H&SMA,trailer,7
8398,TRL,GRDN,trailer,7
8400,VEH,FOD,3-door,7
8401,TRL,FI/BA,trailer,7
8403,VEH,UNIVE,motorcycle,7
8405,TRL,CHARM,trailer,7
8406,TRL,KRIS,trailer,7
8408,TRL,DHART,trailer,7
8409,TRL,CU/BU,trailer,7
8410,VEH,AMERI,big truck,7
8411,VEH,NE/HO,snow plow,7
8412,TRL,SP/EC,trailer,7
8413,TRL,SUPE,trailer,7
8414,VEH,SCANI,big truck,7
8415,VEH,RPS,multi-wheeled vehicle,7
8418,TRL,LORED,trailer,7
8419,TRL,UN/TR,trailer,7
8421,TRL,QUALT,trailer,7
8422,TRL,HOLMS,trailer,7
8423,VEH,POLAT,multi-wheeled vehicle,7
8425,VEH,TRACK,power shovel,7
8426,VEH,FRTL,tractor,7
8427,TRL,HAWKL,trailer,7
8428,VEH,HUPMO,convertible,7
8429,SNOW,YAHMA,snow plow,7
8430,TRL,MA/ST,trailer,7
8431,VEH,EAGLE,trailer,7
8432,VEH,CL/RO,convertible,7
8433,TRL,H&SMA,trailer,7
8434,TRL,BRMAR,trailer,7
8435,VEH,PTRB,tow truck / wrecker,7
8436,VEH,BG/DG,motorcycle,7
8437,TRL,SU/PU,trailer,7
8439,TRL,TENN,trailer,7
8440,VEH,BMY,truck,7
8441,VEH,CASEP,power shovel,7
8442,VEH,CHEVY,truck,7
8443,VEH,SPEC,trailer,7
8444,VEH,SE/TE,trailer,7
8445,TRL,MA/RO,trailer,7
8446,VEH,LEEBO,trailer,7
8447,VEH,CLARK,power shovel,7
8448,VEH,JOHND,station wagon/sport utility vehicle,7
8449,TRL,JAMAR,big truck,7
8450,VEH,TIKIN,multi-wheeled vehicle,7
8451,TRL,TIMP,trailer,7
8452,VEH,SLGRE,trailer,7
8454,VEH,LI/BE,lift boom,7
8455,VEH,WHEEL,van,7
8456,VEH,MA/TI,trailer,7
8457,TRL,SNO,trailer,7
8458,TRL,CZ,trailer,7
8459,VEH,BERKS,bus,7
8460,VEH,FEATH,trailer,7
8461,VEH,INT,big truck,7
8462,TRL,DILLE,trailer,7
8463,VEH,RAM,trailer,7
8464,TRL,SN/KI,station wagon/sport utility vehicle,7
8465,TRL,DANE,trailer,7
8467,TRL,TRLR,trailer,7
8469,TRL,PROTR,trailer,7
8470,TRL,TAXA,trailer,7
8472,TRL,AM/FL,trailer,7
8473,VEH,PJTR,trailer,7
8474,VEH,WARD,fire,7
8475,VEH,HOME,trailer,7
8476,VEH,CHANG,trailer,7
8477,VEH,PTRB,big truck,7
8479,TRL,LN/LT,trailer,7
8480,TRL,TOMAS,trailer,7
8481,VEH,TRAVC,trailer,7
8482,TRL,DORSE,trailer,7
8483,TRL,PLAYT,trailer,7
8485,TRL,WI/YU,trailer,6
8487,TRL,SUNDO,trailer,6
8488,TRL,GREYS,trailer,6
8489,TRL,TOPB,trailer,6
8491,TRL,TRANC,trailer,6
8492,TRL,KI/CO,trailer,6
8493,VEH,BMBR,motorcycle,6
8494,TRL,WORK,trailer,6
8496,TRL,COBRA,big truck,6
8497,TRL,BE/TR,trailer,6
8498,TRL,HURR,trailer,6
8499,TRL,KE/DE,trailer,6
8500,VEH,ROADM,trailer,6
8501,TRL,CARO,trailer,6
8502,VEH,NISSA,power shovel,6
8504,TRL,WAB,trailer,6
8505,VEH,NWHLN,power shovel,6
8506,TRL,RUGGE,trailer,6
8507,VEH,MUSTA,convertible,6
8508,TRL,CONTR,trailer,6
8509,VEH,CROFT,trailer,6
8510,TRL,TRIPT,trailer,6
8511,TRL,MI/AL,trailer,6
8512,TRL,CW,trailer,6
8513,VEH,AU/WE,snow plow,6
8514,TRL,TRAC,trailer,6
8515,VEH,CANA,motorcycle,6
8517,TRL,SU/BI,trailer,6
8518,TRL,HMST,trailer,6
8519,TRL,VIPER,trailer,6
8520,VEH,LO/TR,trailer,6
8521,VEH,TCM,truck,6
8522,TRL,TR/DE,trailer,6
8523,VEH,SPRIN,trailer,6
8525,VEH,WE/ST,snow plow,6
8527,TRL,PACET,trailer,6
8528,TRL,AIRBU,trailer,6
8529,VEH,ZH/NE,motorcycle,6
8530,VEH,TRUIM,3-door,6
8531,VEH,BUIC,convertible,6
8532,TRL,TI/LI,trailer,6
8533,VEH,SUNB,convertible,6
8535,TRL,RO/BO,trailer,6
8537,TRL,ALUTR,trailer,6
8538,VEH,JO/DR,multi-wheeled vehicle,6
8541,TRL,HAULL,trailer,6
8542,VEH,WINO,trailer,6
8543,TRL,BULLD,trailer,6
8544,TRL,BL/GR,trailer,6
8545,VEH,HOL,trailer,6
8546,TRL,SURE,station wagon/sport utility vehicle,6
8547,TRL,RPODD,trailer,6
8549,TRL,BENHU,trailer,6
8550,TRL,LETSG,trailer,6
8551,TRL,CRCO,trailer,6
8552,TRL,SUNN,trailer,6
8553,TRL,RONS,trailer,6
8554,TRL,INDIA,trailer,6
8555,VEH,UNICE,van,6
8556,TRL,HALUM,trailer,6
8557,VEH,HADAV,motorcycle,6
8558,VEH,ASTON,convertible,6
8559,TRL,CAMTR,trailer,6
8560,VEH,AL/LI,trailer,6
8561,TRL,BI/JO,trailer,6
8562,TRL,ALTC,trailer,6
8563,VEH,KENTW,van,6
8564,TRL,NORMA,trailer,6
8566,TRL,HAVLI,trailer,6
8567,VEH,INTRN,big truck,6
8568,VEH,NAV,van,6
8570,VEH,MA/LI,trailer,6
8572,TRL,AIR,trailer,6
8573,TRL,APEXN,trailer,6
8574,TRL,HOMEN,trailer,6
8575,VEH,LANDA,trailer,6
8576,TRL,AMHA,trailer,6
8577,VEH,CITR,sedan,6
8578,TRL,PALME,trailer,6
8579,VEH,EAGLE,trailer,6
8580,TRL,ARTIC,trailer,6
8581,TRL,STILL,station wagon/sport utility vehicle,6
8582,VEH,BIGTX,trailer,6
8583,TRL,CA/AL,trailer,6
8584,TRL,GE/WE,big truck,6
8585,VEH,TR/SU,trailer,6
8587,TRL,FI/HO,trailer,6
8588,TRL,INT,trailer,6
8590,TRL,CASIT,trailer,6
8591,TRL,HY/HA,trailer,6
8592,TRL,ESC,trailer,6
8593,VEH,JACOB,station wagon/sport utility vehicle,6
8594,VEH,STUD,truck,6
8595,TRL,HOLDE,trailer,6
8596,TRL,LEES,trailer,6
8597,TRL,EAMC,trailer,6
8598,VEH,WEST,tractor,6
8599,TRL,FLAT,trailer,6
8600,TRL,BT/MT,trailer,6
8601,VEH,EDSE,sedan,6
8604,TRL,ES/LO,trailer,6
8606,TRL,YT/CL,trailer,6
8608,VEH,GM,bus,6
8609,VEH,EM/ON,fire,6
8610,TRL,TRLM,trailer,6
8612,VEH,STEYR,truck,6
8613,TRL,TRIP,trailer,6
8614,TRL,DIMN,trailer,6
8615,VEH,IHC,station wagon/sport utility vehicle,6
8617,VEH,STRG,big truck,6
8618,TRL,CHTH,trailer,6
8620,VEH,GRAND,bus,6
8621,VEH,KRYST,bus,6
8622,TRL,HYBRI,trailer,6
8624,TRL,DORSY,trailer,6
8625,TRL,EZROL,trailer,6
8627,TRL,ARIZO,trailer,6
8628,VEH,TSE,trailer,6
8629,TRL,TR/RU,trailer,6
8630,TRL,TOWLI,trailer,6
8631,TRL,BOBCA,trailer,6
8632,TRL,VIBET,trailer,6
8634,TRL,WE/HA,station wagon/sport utility vehicle,6
8635,TRL,DO/EA,big truck,6
8636,TRL,KZSP,trailer,6
8637,VEH,RAYCO,trailer,6
8638,VEH,WHGM,big truck,6
8639,VEH,APOLL,motorcycle,6
8640,VEH,FVGM,trailer,6
8641,TRL,P&J,trailer,6
8642,TRL,SP/SU,trailer,6
8643,VEH,BERTO,convertible,6
8645,TRL,SCOTT,trailer,6
8646,TRL,YELLO,trailer,6
8647,TRL,BREN,trailer,6
8648,TRL,H&H,station wagon/sport utility vehicle,6
8649,VEH,SMI,snow plow,6
8651,VEH,RVISI,trailer,6
8652,TRL,TRLMO,trailer,6
8653,TRL,CO/PR,big truck,6
8654,VEH,NW/HO,snow plow,6
8655,TRL,PHELA,trailer,6
8657,VEH,LIBER,trailer,6
8658,VEH,KENTW,tractor,6
8660,TRL,TH/AL,trailer,6
8663,TRL,HOMRM,trailer,6
8664,VEH,GENER,motorcycle,6
8666,TRL,GENER,station wagon/sport utility vehicle,6
8667,TRL,TR/CR,big truck,6
8668,VEH,TI/WO,trailer,6
8669,VEH,CT/MO,multi-wheeled vehicle,6
