Record Type,Make,Body Type,Registration Class
VEH,APRIL,MCY,694
BOAT,CHECK,BOAT,693
TRL,SUNLI,H/TR,691
TRL,MA/TI,LTRL,687
BOAT,SCOUT,BOAT,686
VEH,TRANS,BUS,685
TRL,WELLS,TRLR,685
TRL,HIGHL,LTRL,682
VEH,ISUZU,FLAT,680
TRL,AM/HA,LTRL,679
TRL,KINGS,TRLR,677
BOAT,PE/YA,BOAT,677
VEH,MACK,UTIL,675
BOAT,TRIUM,BOAT,675
TRL,BULLE,H/TR,674
TRL,INTEG,TRLR,673
BOAT,TROPH,BOAT,673
VEH,MACK,CMIX,672
TRL,BELMO,LTRL,672
BOAT,PLAYB,BOAT,672
BOAT,HUNTE,BOAT,672
VEH,HINO,DUMP,671
VEH,BENTL,CONV,670
VEH,DODGE,UTIL,669
BOAT,PELIC,BOAT,667
TRL,GAC,TRLR,664
BOAT,MANIT,BOAT,663
BOAT,SKEET,BOAT,657
VEH,MI/FU,DUMP,655
BOAT,MARIA,BOAT,654
BOAT,STEIG,BOAT,654
TRL,HOOSI,LTRL,653
TRL,AMERI,TRLR,652
TRL,HOME,LTRL,652
VEH,FORD,TANK,651
BOAT,MFG,BOAT,650
VEH,CADIL,HRSE,650
TRL,MAGIC,LTRL,649
VEH,SUNSE,H/WH,647
VEH,WORKH,DELV,645
BOAT,STRAT,BOAT,641
VEH,CUSTO,MCY,636
VEH,BENTL,4DSD,634
TRL,HAULI,TRLR,631
TRL,UHAUL,LTRL,629
TRL,SNOPR,LTRL,629
VEH,ITASC,H/WH,628
TRL,US/CA,LTRL,626
VEH,AMERI,SUBN,626
TRL,PARKE,LTRL,624
TRL,TR/RU,H/TR,619
TRL,TO/BR,TRLR,613
TRL,DUTCH,H/TR,613
TRL,EZ/LO,BOAT,613
BOAT,SPORT,BOAT,611
VEH,KENWO,VAN,609
VEH,MI/FU,VAN,608
TRL,TO/BR,LTRL,608
VEH,HARLE,MCY,605
TRL,PA/AM,LTRL,604
VEH,CHEVR,TOW,603
BOAT,HONDA,BOAT,602
TRL,CARMA,LTRL,601
BOAT,TRITO,BOAT,599
TRL,RC,TRLR,599
TRL,RENEG,TRLR,598
TRL,RINGO,LTRL,597
BOAT,MALIB,BOAT,596
BOAT,DONZI,BOAT,595
BOAT,NAUTI,BOAT,595
BOAT,MONAR,BOAT,594
TRL,HAWKE,TRLR,594
TRL,DIAMO,TRLR,592
TRL,SHIPM,LTRL,592
VEH,YAMAH,MOPD,590
BOAT,TIARA,BOAT,590
VEH,MACK,FLAT,589
BOAT,PEARS,BOAT,589
VEH,HUSQV,MCY,587
TRL,TENNE,LTRL,585
VEH,MG,2DSD,584
TRL,HYUND,SEMI,584
BOAT,SPECT,BOAT,583
TRL,AMERI,LTRL,583
TRL,PREMI,TRLR,582
VEH,CHEV,2DSD,579
VEH,OSHKO,CMIX,579
TRL,MI/AT,LTRL,574
TRL,LOCKE,TRLR,574
BOAT,CELEB,BOAT,573
TRL,VIKIN,TRLR,570
VEH,MI/BI,BUS,569
TRL,TEENE,LTRL,567
TRL,MALLA,H/TR,566
TRL,SAUBE,TRLR,565
VEH,CAM,TRLR,562
BOAT,MA/CR,BOAT,561
VEH,RO/RO,4DSD,560
TRL,FLAGS,TRLR,556
VEH,PLYMO,CONV,552
TRL,ALUMA,TRLR,550
TRL,ADAM,TRLR,548
VEH,MASER,CONV,548
TRL,KZ/SP,H/TR,547
VEH,AS/MA,2DSD,545
BOAT,MI/HA,BOAT,543
TRL,TALBE,SEMI,542
TRL,LIBER,TRLR,541
BOAT,PR/LI,BOAT,540
TRL,TARTE,LTRL,540
BOAT,BA/LI,BOAT,539
TRL,AIRST,H/TR,538
VEH,TR/TE,SUBN,536
VEH,INTER,REFG,534
BOAT,WE/CR,BOAT,533
BOAT,BENTL,BOAT,533
TRL,CATAL,H/TR,533
VEH,UD,DUMP,532
TRL,PIONE,H/TR,531
BOAT,OL/TO,BOAT,531
TRL,EZ/DU,TRLR,530
TRL,HURST,TRLR,527
VEH,INFIN,CONV,526
VEH,GEM,LSV,524
TRL,NEO,TRLR,523
TRL,WARLO,LTRL,523
TRL,BIGTE,TRLR,519
TRL,CURRA,LTRL,515
TRL,RINGO,TRLR,515
VEH,KTM,ATV,515
TRL,COTTR,SEMI,513
TRL,RO/SO,TRLR,513
VEH,PETER,UTIL,513
TRL,FLEET,TRLR,513
VEH,SMART,CONV,512
TRL,LARK,TRLR,511
VEH,MACK,S/SP,510
TRL,STARC,H/TR,507
TRL,ROADC,LTRL,505
TRL,PACE,LTRL,505
TRL,KARAV,TRLR,504
VEH,MASER,2DSD,504
BOAT,CAROL,BOAT,503
TRL,VALLE,TRLR,501
TRL,SGAC,TRLR,500
TRL,CARRY,TRLR,499
TRL,CA/TR,LTRL,499
BOAT,DISCO,BOAT,497
VEH,ALLEG,H/WH,496
TRL,RACEM,LTRL,495
TRL,UHAUL,UTIL,495
TRL,TE/NE,LTRL,493
VEH,JAYCO,H/WH,493
VEH,LINCO,PICK,493
VEH,FORD,TRAC,492
VEH,FREIG,REFG,489
TRL,FO/WI,TRLR,487
TRL,EXISS,TRLR,487
VEH,BENTL,2DSD,486
VEH,INTER,PICK,485
VEH,PETER,FLAT,483
VEH,RAM,TOW,482
BOAT,RADIS,BOAT,481
TRL,FR/EX,H/TR,481
BOAT,SE/PR,BOAT,481
TRL,EZLOA,LTRL,481
TRL,FLOE,LTRL,480
VEH,KOMAT,P/SH,479
TRL,DIVEL,TRLR,477
TRL,EZ/HA,TRLR,476
TRL,NEXHA,TRLR,476
VEH,SLING,MCY,474
TRL,STARL,TRLR,474
BOAT,BERKS,BOAT,473
VEH,FORD,TAXI,473
TRL,GREAT,SEMI,472
BOAT,CHRIS,BOAT,471
BOAT,MASTE,BOAT,471
